"id","document_name","description"
"1","00390948.pdf","Whalesback..Dynamic contemporary living perched high on a solid granite cliff overlooking the Atlantic. Soaring ceilings, walls of glass, limestone heated floors, modern Soapstone kitchen, elevator, luxurious infinity pool and a separate 2 level fully equipped guest house. Set on 2.7 acres with 450 of bold oceanfront bordering 1800 acres of Crown Land. Library/office loft with panoramic ocean views, bedrooms all have ensuite baths. The master has a private terrace with outdoor fireplace and hot tub, perfect for star gazing. A unique, amazing offering. This private setting is just 25 minutes to Halifax and 45 minutes to the airport.  Location Description From Rotary drive to Purcells Cove Rd, left on Ketch Harbour Rd, left on Chebucto Head Rd, right on Duncans Cove Rd, Gannet Lane is to the right just before the cove.  "
"2","05337591.pdf","Finest property in New Brunswick! Modern, luxurious, architectural home takes full advantage of center stage on Lake Utopia in St. George. Panoramic views of the lake, 27,000 sq.ft.under roof and 100+ acres of unspoiled natural beauty. Experience resort-style living with 3 homes, 2 tournament quality outdoor tennis courts, and 1 stadium quality indoor tennis court with state-of-the-art indoor stadium lighting, water park including 2 pools & wading pool with umbrella feature, beach volleyball court, baseball field, custom go-kart track, driving range, indoor basketball court, playground, private dock with boat lift and 3 private beaches. Main home offers expanses of glass flooding the interior with brilliant light, sleek contemporary design, dramatic master suite with custom shower/central tub showcasing unparalleled views, master lanai with drapery screening and built-in Jacuzzi. Two guest homes provide luxurious privacy for visitors enjoying this exquisite estate. Welcome to paradise!  Location Description Take NB 1 East. Take exit 56. Left onto NB 172 which turns into NB 780. Left onto Route 785. 1191 is on the left.  "
"3","10085286.pdf","Custom built by Edgecombe and perched 16.63 acres with endless lake views is Eagle Mountain Estate. Sprawling 12,800 sq.ft timber frame home with 5 bdrms, 7 bathrooms, 5 fireplaces, geothermal heating/cooling system plus infloor heating throughout. Castle rock & Hardie board siding, Douglas fir timbers throughout with an impressive Port-co-chere to welcome guests. Soaring 30 ft ceilings, granite counters, double island kitchen loaded with stainless steel appliances, gorgeous dining room with floor to ceiling windows, plus dream master bedroom with luxurious ensuite with the lake and city as your backdrop. Home office with private terrace plus guest quarters with everything they need for their enjoyment. Downstairs features a home theatre, temperature controlled wine room, home gym, wet bar, billiards area plus ample storage. The home features a state of the art Crestron system easily controlled by your mobile phone. Tennis court, infinity pool plus dock with electric boat lift!  "
"4","10086107.pdf","Incredible Lake Front Estate! Private gated location in prestigious Whiskey Cove! This Breathtaking property offers unparalleled panoramic lake views and easy, level access to the waters of Okanagan Lake. A long driveway leads to this stunning modern contemporary home that has been tastefully renovated. Floor to ceiling and wall to wall windows that all open to an expansive lakeside patio, outdoor kitchen and lake beyond. Main home features expansive main floor living areas, huge great room with two way fireplace that is shared with the dining area. Dining room seats 18 with ample room for more if needed! Chef worthy island kitchen with top of the line appliances. The Master Bedroom is positioned lakeside enjoying the incredible lakeview plus the stunning outdoor fire feature. Finishing the master suite is a spa styled bathroom with every luxury including a wine refrigerator. 2 additional guest homes are on the property and boast over 2200 square feet of guest living. 1.35 acre level lakeshore with over 115 feet of pebbled shoreline. Licensed boat dock with lift and ski doo lifts. Ample room to park in or out all the toys.  "
"5","10086622.pdf","To reside on this property is a dream realized! 13.2 level acres on Okanagan Lake offers 284 ft. of pristine beachfront, boat dock, deluxe 3 bedroom guest house, grand entertainment sized lakeside patio complete with salt water pool and hot tub, timbered arbor, pergolas define outdoor living spaces. Architecturally designed custom home set privately on manicured grounds with gate private entry. Farm status for the balance of the land with lease in place. A grand waterfront estate set in the heart of wine country!  "
"6","10090774.pdf","Lakeshore in the heart of Kelowna, level 0.89 acre site of park-like mature landscape complete with sandy beachfront and dock. Character and charm exudes through out this Georgian revival styled home. The interior of the home has wide openings that align to each room creating an easy flow between areas. Glass windows and doors are abundant thru out and allow for a bright interior. Extensive and stylish renovations were completed with careful attention to the history of the home while providing modern day luxuries. 8 full bedrooms, 6 bathrooms and over 7600 square feet. In 2007 a deluxe wing was created that features a self contained 2 bedroom guest suite that includes a full kitchen, living and laundry room. Quality natural materials include granite, polished marble, hardwood and stone accents. These materials in combination with the traditional styling make this home warm and inviting. Rear yard features generous flagstone patio to relax and enjoy the beauty of the Okanagan. Secure gated entry, meandering stone driveway, double garage with lots of additional room for exterior parking. A lakeshore paradise awaits you!  "
"7","10090865.pdf","A piece of paradise along the shores of Okanagan Lake with over 500 feet of private and pristine waterfront. 2 homes that are architecturally designed and timelessly styled. The main home taking full advantage of the lakeside setting. Mature indigenous trees and landscaping, impressive rock walls and numerous patios and plateaus to enjoy the setting. Sandy beach area with licensed dock, boat moorage and areas to enjoy the Okanagan sunshine. The second home is nestled apart from the main home and is ideal for visiting family and guests. The upper portion of the property offers a unique opportunity for potential subdivision, detached garage & shop. Just minutes from Cedar Creek Estate Winery, Summer Hill Winery, Bertram Beach and Okanagan Mountain Park. Your guests will enjoy the scenic drive through the vineyards along the shoreline of Okanagan Lake. Picturesque sunset views, nature at your doorstep and peaceful quiet are just some of the memories you will enjoy. Fabulous business asset to be used as a corporate retreat and client meetings.  "
"8","10091948.pdf","Waterfront Retreat! This estate is perfect for a family with room for the extended family. Luxurious main home, 2 brand new guest homes and beach cabana with sleeping quarters. Stunning level lakefront access set in private bay with licensed wharf.. So many exterior wonders, cascading water fall adjacent to the home meanders past the outdoor kitchen to the pebbled shoreline & sandy beach. Main home newly constructed w/ top of the line finishing & quality materials. Design of this home truly integrates with the lakeside setting via sliding wall doors that open to the outdoor lounging areas, greenspace & waterfront. Main floor master features a full sitting area w/ fireplace, access to the lake & luxurious ensuite. Gourmet island kitchen w/ professional butlers pantry. Upper level features a full office with access to lake view balcony plus 2 bedrooms. Lower Level with unfinished area perfect for media room if desired, 3 piece bath with sauna leads to lake and flex area currently used as gym. The two new guest homes built in 2013 are side by side featuring covered parking, 2 bedrooms, full island kitchens and 2 baths. Both these homes have lake view outdoor balconies. Beach Cabana features small summer kitchen, bathroom & upper level open loft bedroom. Unique to the beach cabana is the front veranda that directly overlooks the water! This estate is one of a kind easily accommodates large gatherings of family & friends. Privacy & tranquility in the perfect setting on the Lake!  "
"9","10093137.pdf","Ripe for Development=Low Density Multiple Housing. Site Area=7.4 acres. Non Encumbered area=3.4 Acres Zoned RM3. Restrictive Covenant=4 Acres Zoned A1. Zoning is in Place. Residence=Altered Tudor Revival Home=2812 Sq Ft. Built in 1911 By the Prowse Family. Proximity to Shops, School, Transit=Close and Convenient. Fantastic opportunity to build your vision! Contact Staccie at 250-718-1432 from Royal LePage Kelowna or Vish from Sutton at 1-778-889-9524 to discuss any questions that you may have.  "
"10","10094151.pdf","Tommie Award winning masterpiece Luminescense - contemporary, full of light and intimately connected with its magnificent setting. Concrete, glass and heavy timber combine to create over 10,000 sq. ft. of luxury living connected to the Okanagan lakeshore lifestyle and boat moorage. Awards for Master Suite design, single family home design and 2013 Pinnacle award for luxury pool design. Exceptional 7 car garage with 1545 sq. ft. on the lower level and 1440 sq. ft. on level 2 with car lift to the upper garage.  "
