"id","document_name","property_type","building_type","storeys","title","community_name","land_size_length","land_size_length_unit","land_size_width","land_size_width_unit","parking_type"
"1","00390948.pdf","Single Family","House",,"Freehold",,"2.7 ACRES|1 - 3 acres",,,,
"2","05337591.pdf","Single Family",,,"Freehold",,"100 ACRES +|100+ acres",,,,"Attached garage, Garage (3), Garage"
"3","10085286.pdf","Single Family","House","1.5","Freehold",,"6.7302 hec|10 - 50 acres",,,,"Attached garage (3)"
"4","10086107.pdf","Single Family","House","1","Freehold",,"0.5504 hec|1 - 5 acres",,,,"Attached garage, Detached garage"
"5","10086622.pdf","Single Family","House","1","Freehold",,"5.3825 hec|10 - 50 acres",,,,"Attached garage (3)"
"6","10090774.pdf","Single Family","House","2.5","Freehold",,"0.88 ac|under 1 acre",,,,"Attached garage (2)"
"7","10090865.pdf","Single Family","House","1","Freehold",,"3.18 ac|1 - 5 acres",,,,"Attached garage, Detached garage"
"8","10090891.pdf","Single Family","House","1.5","Freehold",,"4.3708 hec|10 - 50 acres",,,,"Attached garage"
"9","10091948.pdf","Single Family","House","2","Freehold",,"3.4 ac|1 - 5 acres",,,,"Attached garage (2)"
"10","10092912.pdf","Single Family","House",,"Freehold",,"5.9005 hec|10 - 50 acres",,,,
"11","10093137.pdf",,,,"Freehold",,"3.0102 hec|5 - 10 acres",,,,
"12","10094151.pdf","Single Family","House",,"Freehold",,"0.8701 hec|1 - 5 acres",,,,"Attached garage"
"13","10094899.pdf","Single Family","House","1.5","Freehold",,"0.2999 hec|under 1 acre",,,,"Breezeway, Oversize, Carport (1), Attached 
garage (2)"
"14","10095140.pdf","Single Family","House","2","Freehold",,"0.388 ac|under 1 acre",,,,"Attached garage (3)"
"15","10097297.pdf","Single Family","House","2","Freehold",,"0.2509 hec|under 1 acre",,,,"Attached garage (2)"
"16","10099383.pdf","Single Family","House","1.5","Freehold",,"2.84 ac|1 - 5 acres",,,,"Attached garage (3)"
"17","10099505.pdf","Single Family","House","1.5","Freehold",,"20.06 ac|10 - 50 acres",,,,"Attached garage (3)"
"18","10099650.pdf","Single Family","House","1","Freehold",,"11.03 ac|10 - 50 acres",,,,"Oversize, Attached garage, Detached garage"
"19","10099708.pdf","Single Family","House","2","Freehold",,"0.0745 hec|under 1 acre",,,,"Attached garage (3)"
"20","11758.pdf",,,,,,,,,,
"21","13070000.pdf","Single Family","House","2",,,"11 ACRES|10 - 49 acres",,,,"Attached garage, Garage"
"22","131776.pdf",,,,,,,,,,
"23","1409195.pdf","Single Family","House","2",,,"35.052 X 81.68 XIRREG.|under 1/2 acre",,,,"Garage, Attached garage, Other"
"24","152912.pdf",,,,,,,,,,
"25","155317.pdf",,,,,,,,,,
"26","342920.pdf",,,,,,,,,,
"27","348418.pdf","Single Family","House",,"Freehold",,"0.9065 hec",,,,"Garage"
"28","348608.pdf","Single Family","House",,"Freehold",,"1.1817 hec",,,,"Garage, Garage"
"29","348906.pdf","Single Family","House",,"Freehold",,"2 ac",,,,"Carport"
"30","349119.pdf","Single Family","House",,"Freehold",,"8.39 ac",,,,"Garage, Garage"
"31","349860.pdf","Single Family","House",,"Freehold",,"1.59 ac",,,,"Garage"
"32","351454.pdf","Single Family","House",,"Freehold",,"13.44 ac",,,,
"33","351903.pdf","Single Family","House","1","Freehold",,"3.34 ac",,,,"Garage"
"34","353393.pdf","Single Family","House",,"Condominium/Strata",,"0.6071 hec",,,,"Garage (2)"
"35","373787.pdf","Single Family","House",,"Freehold",,"12.87 ac",,,,
"36","385472.pdf","Single Family","House",,"Freehold",,"4.94 ac",,,,
"37","392606.pdf","Single Family","House",,"Freehold",,"5.98 ac",,,,"Garage (3)"
"38","41257197.pdf","Single Family","House","2","Freehold",,"42,405 SQ. FT.|1/2 - 1 acre",,,,"Attached garage, Garage (2), Garage"
"39","481960135.pdf","Single Family","House","2","Freehold",,"4.40 ACRES|3 - 10 acres",,,,
"40","60088317.pdf","Single Family","House","1.5","Freehold",,"1.6 ACRE +1.8 ACRE WATER GRANT LOT|1 - 3 acres",,,,"Garage (3), Garage"
"41","C3104853.pdf","Single Family","House","2","Freehold","Bridle Path-Sunnybrook-York Mills","75.00x196.40 FT",,,,
"42","C3120190.pdf","Single Family","Row / Townhouse","3","Freehold","Annex","19.42x81.59 FT",,,,"Attached garage"
"43","C3140671.pdf","Single Family","House","2","Freehold","Bridle Path-Sunnybrook-York Mills","106.17x163.56 FT",,,,
"44","C3153538.pdf","Single Family","Apartment",,"Condominium/Strata","Casa Loma",,,,,
"45","C3166960.pdf","Single Family","Row / Townhouse","3","Freehold","Annex","17.50x148.70 FT",,,,"Attached garage"
"46","C3174921.pdf","Single Family","House","2","Freehold","St. Andrew-Windfields","81.00x150.96 FT",,,,"Garage"
"47","C3185841.pdf","Single Family","House","2","Freehold","Bridle Path-Sunnybrook-York Mills","69.33x120.04 FT",,,,"Garage"
"48","C3211401.pdf","Single Family","House","2.5","Freehold","Forest Hill South","65.00x120.00 FT",,,,"Garage"
"49","C3214787.pdf","Single Family","Apartment",,"Condominium/Strata","Waterfront Communities C1",,,,,
"50","C3618078.pdf","Single Family","House","2",,,,,,,"Attached garage"
"51","C3640664.pdf","Single Family","Apartment","2","Condominium/Strata",,,,,,"Indoor (1), Indoor (2), Parking Space(s), Underground"
"52","C3645887.pdf","Single Family","House","2.5","Freehold",,"117.91 ac",,,,"Attached garage (4), RV"
"53","C3646135.pdf","Single Family","House","2.5","Freehold",,"59.7013 hec",,,,"Breezeway, Attached garage (4), Detached 
garage (3)"
"54","C3647620.pdf","Single Family","House","1",,,,,,,"Attached garage, Oversize, Parking pad, RV"
"55","C3652657.pdf","Single Family","House","1.5","Freehold",,"27.3901 hec",,,,"Attached garage (4), Oversize"
"56","C3652931.pdf","Single Family","House","1.5","Freehold",,"W:22.8600m D:85.9800m Shape:REC",,,,
"57","C3653337.pdf","Single Family","House","2.5","Freehold",,"W:4.3000m Shape:IRR",,,,
"58","C4000662.pdf","Single Family","House","2","Freehold",,"W:45.7100m Shape:IRR",,,,
"59","C4000958.pdf","Single Family","House","2","Freehold",,"W:22.7000m D:58.4800m Shape:REC",,,,"Attached garage (3)"
"60","C4001601.pdf","Single Family","House","2","Freehold",,"W:16.7000m D:38.7000m Shape:REC",,,,"Attached garage, Oversize"
"61","C4006332.pdf","Single Family","House","1",,,,,,,"Attached garage, Oversize"
"62","C4006483.pdf","Single Family","House","3","Freehold",,"W:23.7700m D:119.9000m Shape:REC",,,,"Detached garage (3)"
"63","C4006709.pdf","Single Family","House","1.5","Freehold",,"159.38 ac",,,,"Attached garage, RV"
"64","C4006818.pdf","Single Family","House","1.5","Freehold",,"129.504 hec",,,,"Carport (1)"
"65","C4007280.pdf","Single Family","Apartment","1","Condominium/Strata",,,,,,"Indoor (2), Parking Space(s), Underground"
"66","C4008847.pdf","Single Family","House","1.5","Freehold",,"1.98 ac",,,,"Attached garage, Oversize"
"67","C4011862.pdf","Single Family","House","2",,,,,,,"Attached garage (2), Oversize"
"68","C4012236.pdf","Single Family","House","1","Freehold",,"129.504 hec",,,,"Carport (2)"
"69","C4014364.pdf","Single Family","House","2","Freehold",,"2 ac",,,,"Attached garage, Oversize, RV"
"70","E3313697.pdf","Single Family","House","1","Freehold",,,,,,"Detached garage"
"71","E3366096.pdf","Single Family","House","1",,,"0.72 ac",,,,"Detached garage, Oversize"
"72","E3391551.pdf","Single Family","House","1",,,"79 ac",,,,"Attached garage"
"73","E3402091.pdf","Single Family","House","2",,,"0.1821 hec",,,,"Attached garage"
"74","F1418810.pdf","Single Family","House","2","Freehold",,"217880 sqft",,,,"Garage"
"75","F1422736.pdf","Single Family","House","2","Freehold",,"39.5 ac",,,,"Garage"
"76","F1426476.pdf","Single Family","House","3","Freehold",,"74745.3874 m2",,,,
"77","F1428720.pdf","Single Family","House","3","Freehold",,"8035 sqft",,,,"Garage"
"78","F1429622.pdf","Single Family","House","2","Freehold",,"44817 sqft",,,,"Garage"
"79","F1430137.pdf","Single Family","House","2","Freehold",,"696524 sqft",,,,"Open"
"80","F1430272.pdf","Single Family","House","2","Freehold",,"4.78 ac",,,,"Open"
"81","F1433307.pdf","Single Family","House","3","Freehold",,"90391 sqft",,,,"Garage"
"82","F1433545.pdf","Single Family","House","3","Freehold",,"87120 sqft",,,,"Garage"
"83","F1433697.pdf","Single Family","House","2","Freehold",,"5505984 sqft",,,,"Garage"
"84","F1434302.pdf","Single Family","House","3","Freehold",,"32081 sqft",,,,"Garage"
"85","F1436762.pdf","Single Family","House","3","Freehold",,"4.35 ac",,,,"Other"
"86","F1437417.pdf","Single Family","House","4","Freehold",,"10724 sqft",,,,"Garage"
"87","F1439155.pdf","Single Family","House","3","Freehold",,"4370.6031 m2",,,,
"88","F1439706.pdf","Single Family","House","2","Freehold",,"47926.8925 m2",,,,"Garage"
"89","F1439755.pdf","Single Family","House","2","Freehold",,"50700 sqft",,,,"Garage"
"90","F1439887.pdf","Single Family","House","3","Freehold",,"11660 sqft",,,,"Open"
"91","F1439898.pdf","Single Family","House","2","Freehold",,"54366 sqft",,,,"Garage"
"92","F1440036.pdf","Single Family","House","2","Freehold",,"5.58 ac",,,,"Garage"
"93","F1440272.pdf","Single Family","House","3","Freehold",,"87555 sqft",,,,"Garage"
"94","F1440892.pdf","Single Family","House","3","Freehold",,"31624 sqft",,,,"Garage"
"95","F1441174.pdf","Single Family","House","2","Freehold",,"47453 sqft",,,,
"96","F1442790.pdf","Single Family","House","2","Freehold",,"45345.96 sqft",,,,"Garage"
"97","H3140708.pdf","Single Family","House","2","Freehold",,"APPROX 102 ACRES 100 or More Acres",,,,"Garage, Attached garage, Inside Entry"
"98","N3078731.pdf","Single Family","House","1","Freehold","East Woodbridge","263.73x194.22 FT",,,,
"99","N3130306.pdf","Single Family","House","2","Freehold","Rural Whitchurch-Stouffville","x47.07 ACRE",,,,
"100","N3139956.pdf","Single Family","House","2","Freehold","South Richvale","100.00x250.00 FT|1/2 - 1.99 acres",,,,
"101","N3162073.pdf","Single Family","House","2","Freehold","Bayview Glen","240.00x479.00 FT|2 - 4.99 acres",,,,"Attached garage"
"102","N3171343.pdf","Single Family","House","2","Freehold","South Richvale","112.50x254.00 FT",,,,
"103","N3173212.pdf","Single Family","House","2","Freehold","South Richvale","100.00x199.79 FT",,,,"Garage"
"104","N3183480.pdf","Single Family","House","2","Freehold","Kleinburg","164.04x FT|1/2 - 1.99 acres",,,,"Attached garage"
"105","N3202699.pdf","Single Family","House","2","Freehold","Rural Innisfil","80.00x195.50 M|2 - 4.99 acres",,,,
"106","N3203701.pdf","Single Family","House","2","Freehold","Keswick South","200.00x550.00 FT",,,,
"107","N3211853.pdf","Single Family","House","2","Freehold","South Richvale","100.06x253.33 FT",,,,"Garage"
"108","N3214580.pdf","Single Family","House","1","Freehold","Rural Vaughan","857.50x FT",,,,"Attached garage"
"109","QR21406417.pdf","Single Family","House","2",,,"306 X 4.81 ACRES|2 - 4.99 acres",,,,"Attached garage, Garage (1), Garage (3)"
"110","SJ152241.pdf","Single Family","House","2","Freehold",,"4.5 ACRES|3 - 10 acres",,,,"Attached garage, Garage (3), Garage"
"111","V1023291.pdf","Single Family","House",,"Strata",,"1486.448 m2",,,,
"112","V1041596.pdf","Single Family","House",,"Strata",,"14315 sqft",,,,
"113","V1057605.pdf","Single Family","House",,"Strata",,"1543.7692 m2",,,,
"114","V1066359.pdf","Single Family","House",,"Freehold",,"84832 sqft",,,,
"115","V1067018.pdf",,,,,,"8880 sqft",,,,
"116","V1069495.pdf","Single Family","House",,"Freehold",,"19364 sqft",,,,
"117","V1072991.pdf","Single Family","House",,"Freehold",,"5620.8 sqft",,,,
"118","V1076667.pdf","Single Family","House",,"Freehold",,"15432 sqft",,,,
"119","V1077012.pdf","Single Family","House",,"Freehold",,,,,,
"120","V1078325.pdf","Single Family","House",,"Freehold",,"14617 sqft",,,,
"121","V1079038.pdf","Single Family","Apartment",,"Strata",,,,,,
"122","V1080274.pdf","Single Family","House",,"Freehold",,"14811 sqft",,,,
"123","V1080575.pdf","Single Family","House",,"Strata",,"10352 sqft",,,,
"124","V1081878.pdf","Single Family","House",,"Freehold",,"6725 sqft",,,,
"125","V1082668.pdf","Single Family","House",,"Freehold",,"15120 sqft",,,,
"126","V1084554.pdf",,,,,,"51.86 x 206.33",,,,
"127","V1086138.pdf","Single Family","House",,"Freehold",,"20878 sqft",,,,
"128","V1086595.pdf","Single Family","House",,"Freehold",,"12220 sqft",,,,
"129","V1088335.pdf","Single Family","House",,"Freehold",,"17425 sqft",,,,
"130","V1088985.pdf",,,,,,"19000 sqft",,,,
"131","V1092694.pdf","Single Family","House",,"Freehold",,"17425 sqft",,,,
"132","V1095804.pdf",,,,,,"293.83 x 1278.18",,,,
"133","V1095995.pdf","Single Family","House",,"Freehold",,"3484800 sqft",,,,
"134","V1096160.pdf","Single Family","House",,"Strata",,"29407 sqft",,,,
"135","V1096647.pdf","Single Family","House",,"Freehold",,,,,,
"136","V1097093.pdf","Single Family","Apartment",,"Strata",,,,,,
"137","V1097187.pdf","Single Family","House",,"Freehold",,"17290 sqft",,,,
"138","V1097237.pdf","Single Family","House",,"Strata",,"15715 sqft",,,,
"139","V1097285.pdf","Single Family","House",,"Freehold",,"7869.04 sqft",,,,
"140","V1097312.pdf","Single Family","House",,"Strata",,"20989 sqft",,,,
"141","V1097513.pdf","Single Family","House",,"Freehold",,"7528 sqft",,,,
"142","V1097673.pdf","Single Family","House",,"Freehold",,"760.9685 m2",,,,
"143","V1097961.pdf","Single Family","House",,"Freehold",,"21829.5 sqft",,,,
"144","V1099142.pdf","Single Family","House",,"Freehold",,"12260 sqft",,,,
