"id","document_name","walk_score","dependence"
"1","00390948.pdf","0
","Car-Dependent
"
"2","05337591.pdf","0
","Car-Dependent
"
"3","10085286.pdf","0
","Car-Dependent
"
"4","10086107.pdf","0
","Car-Dependent
"
"5","10086622.pdf","0
","Car-Dependent
"
"6","10090774.pdf","68
","Somewhat Walkable
"
"7","10090865.pdf","4
","Car-Dependent
"
"8","10090891.pdf","0
","Car-Dependent
"
"9","10091948.pdf","5
","Car-Dependent
"
"10","10092912.pdf","4
","Car-Dependent
"
"11","10093137.pdf","59
","Somewhat Walkable
"
"12","10094151.pdf","0
","Car-Dependent
"
"13","10094899.pdf","7
","Car-Dependent
"
"14","10095140.pdf","41
","Car-Dependent
"
"15","10097297.pdf","0
","Car-Dependent
"
"16","10099383.pdf","0
","Car-Dependent
"
"17","10099505.pdf","18
","Car-Dependent
"
"18","10099650.pdf","5
","Car-Dependent
"
"19","10099708.pdf","Jane Hoffm","Car-Dependent
"
"20","13070000.pdf","0
","Car-Dependent
"
"21","1409195.pdf","3
","Car-Dependent
"
"22","348418.pdf","6
","Car-Dependent
"
"23","348608.pdf","28
","Car-Dependent
"
"24","348906.pdf","0
","Car-Dependent
"
"25","349119.pdf","0
","Car-Dependent
"
"26","349860.pdf","4
","Car-Dependent
"
"27","351454.pdf","2
","Car-Dependent
"
"28","351903.pdf","1
","Car-Dependent
"
"29","353393.pdf","3
","Car-Dependent
"
"30","373787.pdf","7
","Car-Dependent
"
"31","385472.pdf","0
","Car-Dependent
"
"32","392606.pdf","1
","Car-Dependent
"
"33","41257197.pdf","3
","Car-Dependent
"
"34","481960135.pdf","0
","Car-Dependent
"
"35","520940126.pdf","0
","Car-Dependent
"
"36","521930797.pdf","0
","Car-Dependent
"
"37","60088317.pdf","3
","Car-Dependent
"
"38","C3104853.pdf","23
","Car-Dependent
"
"39","C3140671.pdf","36
","Car-Dependent
"
"40","C3153538.pdf","82
","Very Walkable
"
"41","C3174921.pdf","32
","Car-Dependent
"
"42","C3185841.pdf","56
","Somewhat Walkable
"
"43","C3211401.pdf",,
"44","C3618078.pdf","0
","Car-Dependent
"
